date,locality,site,bar,station,tran_length,elev_m
7/7/2010,HB,I,3,HBI3,5,-0.352
7/7/2010,HB,I,3,HBI3,10,0.048
7/7/2010,HB,I,3,HBI3,7.5,-0.162
7/7/2010,HB,N,1,HBN1,18,-0.6
7/7/2010,HB,N,1,HBN1,17.5,-0.6
7/7/2010,HB,N,1,HBN1,7.5,-0.48
7/7/2010,HB,N,1,HBN1,2.5,-0.565
7/7/2010,HB,N,1,HBN1,15,-0.58
7/7/2010,HB,N,1,HBN1,12.5,-0.45
7/7/2010,HB,N,1,HBN1,5,-0.46
7/7/2010,HB,N,1,HBN1,10,-0.445
7/7/2010,HB,N,3,HBN3,17.5,-0.751
7/7/2010,HB,N,3,HBN3,2.5,-0.711
7/7/2010,HB,N,3,HBN3,7.5,-0.511
7/7/2010,HB,N,3,HBN3,10,-0.491
7/7/2010,HB,N,3,HBN3,15,-0.661
7/7/2010,HB,N,3,HBN3,5,-0.576
7/7/2010,HB,N,3,HBN3,12.5,-0.551
7/7/2010,HB,N,5,HBN5,2.5,
7/7/2010,HB,N,5,HBN5,5,
7/7/2010,HB,N,5,HBN5,7.5,
7/7/2010,HB,N,5,HBN5,10,
7/7/2010,HB,N,5,HBN5,12.5,
7/7/2010,HB,N,5,HBN5,15,
7/7/2010,HB,N,5,HBN5,17.5,
7/7/2010,HB,N,5,HBN5,18,
7/7/2010,HB,N,6,HBN6,2.5,
7/7/2010,HB,N,6,HBN6,5,
7/7/2010,HB,N,6,HBN6,7.5,
7/7/2010,HB,N,6,HBN6,10,
7/7/2010,HB,N,6,HBN6,12.5,
7/7/2010,HB,N,6,HBN6,15,
7/7/2010,HB,N,6,HBN6,17.5,
7/7/2010,HB,N,6,HBN6,20,
7/7/2010,HB,N,6,HBN6,22.7,
7/7/2010,HB,O,1,HBO1,27.5,-0.505
7/7/2010,HB,O,1,HBO1,2.5,-0.525
7/7/2010,HB,O,1,HBO1,10,-0.745
7/7/2010,HB,O,1,HBO1,31.5,-0.745
7/7/2010,HB,O,1,HBO1,15,-0.555
7/7/2010,HB,O,1,HBO1,12.5,-0.605
7/7/2010,HB,O,1,HBO1,30,-0.855
7/7/2010,HB,O,1,HBO1,5,-0.525
7/7/2010,HB,O,1,HBO1,20,-0.525
7/7/2010,HB,O,1,HBO1,22.5,-0.525
7/7/2010,HB,O,1,HBO1,7.5,-0.855
7/7/2010,HB,O,1,HBO1,17.5,-0.545
7/7/2010,HB,O,1,HBO1,25,-0.53
7/7/2010,HB ,N,2,HBN2,23.5,-0.441
7/7/2010,HB ,N,2,HBN2,7.5,-0.566
7/7/2010,HB ,N,2,HBN2,12.5,-0.536
7/7/2010,HB ,N,2,HBN2,10,-0.551
7/7/2010,HB ,N,2,HBN2,22.5,-0.441
7/7/2010,HB ,N,2,HBN2,15,-0.496
7/7/2010,HB ,N,2,HBN2,2.5,-0.626
7/7/2010,HB ,N,2,HBN2,17.5,-0.496
7/7/2010,HB ,N,2,HBN2,5,-0.591
7/7/2010,HB ,N,2,HBN2,20,-0.436
7/8/2010,LC,I,1,LCI1,2.5,-0.165
7/8/2010,LC,I,1,LCI1,20,-0.115
7/8/2010,LC,I,1,LCI1,17.5,0.18
7/8/2010,LC,I,1,LCI1,15,0.245
7/8/2010,LC,I,1,LCI1,10,0.225
7/8/2010,LC,I,1,LCI1,12.5,0.235
7/8/2010,LC,I,1,LCI1,7.5,0.195
7/8/2010,LC,I,1,LCI1,5,0.07
7/8/2010,LC,I,2,LCI2,20.2,-0.087
7/8/2010,LC,I,2,LCI2,17.5,0.033
7/8/2010,LC,I,2,LCI2,7.5,0.123
7/8/2010,LC,I,2,LCI2,12.5,0.103
7/8/2010,LC,I,2,LCI2,15,0.063
7/8/2010,LC,I,2,LCI2,10,0.123
7/8/2010,LC,I,2,LCI2,5,0.073
7/8/2010,LC,I,2,LCI2,2.5,-0.147
7/8/2010,LC,I,3,LCI3,19.4,0.309
7/8/2010,LC,I,3,LCI3,12.5,0.439
7/8/2010,LC,I,3,LCI3,5,0.389
