"","station","month_num","year","side","cnt"
"509","WQ6","12",2019,"TOP",0
"510","WQ6","12",2019,"BOTTOM",0
"511","WQ6","12",2019,"SIDE",0
"512","WQ7","12",2019,"TOP",0
"513","WQ7","12",2019,"BOTTOM",0
"514","WQ7","12",2019,"SIDE",0
"515","WQ8","12",2019,"TOP",0
"516","WQ8","12",2019,"BOTTOM",0
"517","WQ8","12",2019,"SIDE",0
"518","WQ9","12",2019,"TOP",0
"519","WQ9","12",2019,"BOTTOM",0
"520","WQ9","12",2019,"SIDE",0
