FID,Id,ORIG_FID,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
269,0,186,15.81173041,298458.0625,3235321.733,298465.9684,3235321.733,298473.8742,3235321.733
270,0,187,16.63870989,298457.8807,3235323.733,298466.2,3235323.733,298474.5194,3235323.733
271,0,188,17.46568936,298457.6989,3235325.733,298466.4317,3235325.733,298475.1645,3235325.733
272,0,189,18.05665098,298457.7531,3235327.733,298466.7814,3235327.733,298475.8097,3235327.733
273,0,190,2.697173799,298148.8059,3235329.733,298150.1545,3235329.733,298151.5031,3235329.733
274,0,190,2.357718402,298171.6401,3235329.733,298172.8189,3235329.733,298173.9978,3235329.733
275,0,190,18.38931227,298458.0656,3235329.733,298467.2602,3235329.733,298476.4549,3235329.733
276,0,191,21.89867256,298065.4585,3235331.733,298076.4079,3235331.733,298087.3572,3235331.733
277,0,191,80.92488962,298105.0337,3235331.733,298145.4961,3235331.733,298185.9585,3235331.733
278,0,191,18.70138238,298458.3781,3235331.733,298467.7287,3235331.733,298477.0794,3235331.733
279,0,192,130.7182068,298061.6403,3235333.733,298126.9994,3235333.733,298192.3585,3235333.733
280,0,192,19.004267,298458.6906,3235333.733,298468.1927,3235333.733,298477.6948,3235333.733
281,0,193,138.5338965,298058.3448,3235335.733,298127.6117,3235335.733,298196.8787,3235335.733
282,0,193,19.30715161,298459.0031,3235335.733,298468.6566,3235335.733,298478.3102,3235335.733
283,0,194,143.538401,298056.5069,3235337.733,298128.2761,3235337.733,298200.0453,3235337.733
284,0,194,19.61003623,298459.3156,3235337.733,298469.1206,3235337.733,298478.9256,3235337.733
285,0,195,147.0773718,298054.6691,3235339.733,298128.2078,3235339.733,298201.7465,3235339.733
286,0,195,19.84011948,298459.7009,3235339.733,298469.6209,3235339.733,298479.541,3235339.733
