FID,Id,POINT_X,POINT_Y,STATION
550,0,296582.3224,3235581.633,LCO21
551,0,296584.3224,3235581.633,LCO21
552,0,296586.3224,3235581.633,LCO21
553,0,296588.3224,3235581.633,LCO21
554,0,296590.3224,3235581.633,LCO21
555,0,296582.3224,3235583.633,LCO21
556,0,296584.3224,3235583.633,LCO21
557,0,296586.3224,3235583.633,LCO21
558,0,296588.3224,3235583.633,LCO21
559,0,296590.3224,3235583.633,LCO21
560,0,296580.3224,3235585.633,LCO21
561,0,296582.3224,3235585.633,LCO21
562,0,296584.3224,3235585.633,LCO21
563,0,296586.3224,3235585.633,LCO21
564,0,296588.3224,3235585.633,LCO21
565,0,296580.3224,3235587.633,LCO21
566,0,296582.3224,3235587.633,LCO21
567,0,296584.3224,3235587.633,LCO21
568,0,296586.3224,3235587.633,LCO21
569,0,296588.3224,3235587.633,LCO21
570,0,296578.3224,3235589.633,LCO21
571,0,296580.3224,3235589.633,LCO21
572,0,296582.3224,3235589.633,LCO21
573,0,296584.3224,3235589.633,LCO21
574,0,296586.3224,3235589.633,LCO21
575,0,296578.3224,3235591.633,LCO21
576,0,296580.3224,3235591.633,LCO21
577,0,296582.3224,3235591.633,LCO21
578,0,296584.3224,3235591.633,LCO21
579,0,296586.3224,3235591.633,LCO21
580,0,296576.3224,3235593.633,LCO21
581,0,296578.3224,3235593.633,LCO21
582,0,296580.3224,3235593.633,LCO21
583,0,296582.3224,3235593.633,LCO21
584,0,296584.3224,3235593.633,LCO21
585,0,296576.3224,3235595.633,LCO21
586,0,296578.3224,3235595.633,LCO21
587,0,296580.3224,3235595.633,LCO21
588,0,296582.3224,3235595.633,LCO21
589,0,296584.3224,3235595.633,LCO21
590,0,296574.3224,3235597.633,LCO21
591,0,296576.3224,3235597.633,LCO21
592,0,296578.3224,3235597.633,LCO21
593,0,296580.3224,3235597.633,LCO21
594,0,296582.3224,3235597.633,LCO21
595,0,296574.3224,3235599.633,LCO21
596,0,296576.3224,3235599.633,LCO21
597,0,296578.3224,3235599.633,LCO21
598,0,296580.3224,3235599.633,LCO21
599,0,296582.3224,3235599.633,LCO21
600,0,296572.3224,3235601.633,LCO21
601,0,296574.3224,3235601.633,LCO21
602,0,296576.3224,3235601.633,LCO21
603,0,296578.3224,3235601.633,LCO21
604,0,296580.3224,3235601.633,LCO21
605,0,296572.3224,3235603.633,LCO21
606,0,296574.3224,3235603.633,LCO21
607,0,296576.3224,3235603.633,LCO21
608,0,296578.3224,3235603.633,LCO21
609,0,296580.3224,3235603.633,LCO21
610,0,296570.3224,3235605.633,LCO21
611,0,296572.3224,3235605.633,LCO21
612,0,296574.3224,3235605.633,LCO21
613,0,296576.3224,3235605.633,LCO21
614,0,296578.3224,3235605.633,LCO21
615,0,296570.3224,3235607.633,LCO21
616,0,296572.3224,3235607.633,LCO21
617,0,296574.3224,3235607.633,LCO21
618,0,296576.3224,3235607.633,LCO21
619,0,296578.3224,3235607.633,LCO21
620,0,296568.3224,3235609.633,LCO21
621,0,296570.3224,3235609.633,LCO21
622,0,296572.3224,3235609.633,LCO21
623,0,296574.3224,3235609.633,LCO21
624,0,296576.3224,3235609.633,LCO21
625,0,296578.3224,3235609.633,LCO21
626,0,296568.3224,3235611.633,LCO21
627,0,296570.3224,3235611.633,LCO21
628,0,296572.3224,3235611.633,LCO21
