FID,point,elev_ft,transect,element,type,F8,POINT_X,POINT_Y,POINT_Z,POINT_M
145,798.000000000000000,-1.682000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294416.426650999990000,3239159.024970000100000,-1.682000000000000,1.000000000000000
146,799.000000000000000,-1.510000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294417.034361000000000,3239159.298090000200000,-1.510000000000000,1.000000000000000
147,800.000000000000000,-1.581000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294417.814130000010000,3239159.694710000000000,-1.581000000000000,1.000000000000000
148,801.000000000000000,-2.608000000000000,5.000000000000000,3.000000000000000,GS, ,294418.223049999970000,3239159.926849999900000,-2.608000000000000,1.000000000000000
149,802.000000000000000,-2.579000000000000,6.000000000000000,3.000000000000000,GS, ,294422.360623000020000,3239151.883229999800000,-2.579000000000000,1.000000000000000
150,803.000000000000000,-1.402000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294421.425851000010000,3239151.540050000000000,-1.402000000000000,1.000000000000000
151,804.000000000000000,-1.272000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294420.611106000030000,3239151.009910000000000,-1.272000000000000,1.000000000000000
152,805.000000000000000,-1.474000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294419.770457000010000,3239150.730250000000000,-1.474000000000000,1.000000000000000
153,806.000000000000000,-1.339000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294419.194076000010000,3239150.234960000000000,-1.339000000000000,1.000000000000000
154,807.000000000000000,-1.540000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294418.584404000020000,3239149.839010000200000,-1.540000000000000,1.000000000000000
155,808.000000000000000,-1.725000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294418.172830000000000,3239149.224650000200000,-1.725000000000000,1.000000000000000
156,809.000000000000000,-1.610000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294417.400009999980000,3239149.034940000200000,-1.610000000000000,1.000000000000000
157,810.000000000000000,-1.581000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294417.051623000010000,3239148.431020000000000,-1.581000000000000,1.000000000000000
158,811.000000000000000,-1.678000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294416.311920000010000,3239148.121540000200000,-1.678000000000000,1.000000000000000
159,812.000000000000000,-1.560000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294415.636064000020000,3239147.828280000000000,-1.560000000000000,1.000000000000000
160,813.000000000000000,-1.659000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294414.599716999980000,3239146.905890000100000,-1.659000000000000,1.000000000000000
161,814.000000000000000,-1.467000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294413.674837000030000,3239146.578790000200000,-1.467000000000000,1.000000000000000
162,815.000000000000000,-2.307000000000000,6.000000000000000,3.000000000000000,GS, ,294412.709898000000000,3239147.700850000100000,-2.307000000000000,1.000000000000000
163,816.000000000000000,-1.434000000000000,6.000000000000000,3.000000000000000,ROCK TOP, ,294413.078538000000000,3239147.927840000000000,-1.434000000000000,1.000000000000000
164,817.000000000000000,-2.728000000000000,7.000000000000000,3.000000000000000,GS, ,294415.190798000030000,3239143.374660000200000,-2.728000000000000,1.000000000000000
165,818.000000000000000,-1.610000000000000,7.000000000000000,3.000000000000000,ROCK TOP, ,294415.762265999980000,3239143.508779999800000,-1.610000000000000,1.000000000000000
166,819.000000000000000,-1.694000000000000,7.000000000000000,3.000000000000000,ROCK TOP, ,294416.435494999980000,3239143.922770000100000,-1.694000000000000,1.000000000000000
167,820.000000000000000,-1.898000000000000,7.000000000000000,3.000000000000000,ROCK TOP, ,294417.422583999990000,3239144.324020000200000,-1.898000000000000,1.000000000000000
168,821.000000000000000,-1.881000000000000,7.000000000000000,3.000000000000000,ROCK TOP, ,294418.176792000010000,3239144.404459999900000,-1.881000000000000,1.000000000000000
169,822.000000000000000,-1.757000000000000,7.000000000000000,3.000000000000000,ROCK TOP, ,294418.602256999990000,3239145.110760000100000,-1.757000000000000,1.000000000000000
170,823.000000000000000,-1.614000000000000,7.000000000000000,3.000000000000000,ROCK TOP, ,294419.211993000000000,3239145.407019999800000,-1.614000000000000,1.000000000000000
