FID,Shape,Id,POINT_X,POINT_Y,STATION
42985,Point,0,298413.4375,3237696.734,NNI3
42986,Point,0,298415.4375,3237696.734,NNI3
42987,Point,0,298417.4375,3237696.734,NNI3
42988,Point,0,298419.4375,3237696.734,NNI3
42989,Point,0,298421.4375,3237696.734,NNI3
42990,Point,0,298423.4375,3237696.734,NNI3
42991,Point,0,298425.4375,3237696.734,NNI3
42992,Point,0,298427.4375,3237696.734,NNI3
42993,Point,0,298429.4375,3237696.734,NNI3
42994,Point,0,298431.4375,3237696.734,NNI3
42995,Point,0,298433.4375,3237696.734,NNI3
43011,Point,0,298405.4375,3237698.734,NNI3
43012,Point,0,298407.4375,3237698.734,NNI3
43013,Point,0,298409.4375,3237698.734,NNI3
43014,Point,0,298411.4375,3237698.734,NNI3
43015,Point,0,298413.4375,3237698.734,NNI3
43016,Point,0,298415.4375,3237698.734,NNI3
43017,Point,0,298417.4375,3237698.734,NNI3
43018,Point,0,298419.4375,3237698.734,NNI3
43019,Point,0,298421.4375,3237698.734,NNI3
43020,Point,0,298423.4375,3237698.734,NNI3
43021,Point,0,298425.4375,3237698.734,NNI3
43022,Point,0,298427.4375,3237698.734,NNI3
43023,Point,0,298429.4375,3237698.734,NNI3
43024,Point,0,298431.4375,3237698.734,NNI3
43025,Point,0,298433.4375,3237698.734,NNI3
43048,Point,0,298407.4375,3237700.734,NNI3
43049,Point,0,298409.4375,3237700.734,NNI3
43050,Point,0,298411.4375,3237700.734,NNI3
43051,Point,0,298413.4375,3237700.734,NNI3
43052,Point,0,298415.4375,3237700.734,NNI3
43053,Point,0,298417.4375,3237700.734,NNI3
43054,Point,0,298419.4375,3237700.734,NNI3
43055,Point,0,298421.4375,3237700.734,NNI3
43056,Point,0,298423.4375,3237700.734,NNI3
43057,Point,0,298425.4375,3237700.734,NNI3
43058,Point,0,298427.4375,3237700.734,NNI3
43059,Point,0,298429.4375,3237700.734,NNI3
43060,Point,0,298431.4375,3237700.734,NNI3
43085,Point,0,298411.4375,3237702.734,NNI3
43086,Point,0,298413.4375,3237702.734,NNI3
43087,Point,0,298415.4375,3237702.734,NNI3
43088,Point,0,298417.4375,3237702.734,NNI3
43089,Point,0,298419.4375,3237702.734,NNI3
43090,Point,0,298421.4375,3237702.734,NNI3
43091,Point,0,298423.4375,3237702.734,NNI3
43092,Point,0,298425.4375,3237702.734,NNI3
43093,Point,0,298427.4375,3237702.734,NNI3
43094,Point,0,298429.4375,3237702.734,NNI3
43121,Point,0,298415.4375,3237704.734,NNI3
43122,Point,0,298417.4375,3237704.734,NNI3
43123,Point,0,298419.4375,3237704.734,NNI3
43124,Point,0,298421.4375,3237704.734,NNI3
43125,Point,0,298423.4375,3237704.734,NNI3
43126,Point,0,298425.4375,3237704.734,NNI3
43127,Point,0,298427.4375,3237704.734,NNI3
43151,Point,0,298419.4375,3237706.734,NNI3
43152,Point,0,298421.4375,3237706.734,NNI3
43153,Point,0,298423.4375,3237706.734,NNI3
43154,Point,0,298425.4375,3237706.734,NNI3
42414,Point,0,298437.4375,3237624.734,NNI5
42415,Point,0,298439.4375,3237624.734,NNI5
42416,Point,0,298441.4375,3237624.734,NNI5
42417,Point,0,298443.4375,3237624.734,NNI5
42418,Point,0,298429.4375,3237626.734,NNI5
42419,Point,0,298431.4375,3237626.734,NNI5
42420,Point,0,298433.4375,3237626.734,NNI5
42421,Point,0,298435.4375,3237626.734,NNI5
42422,Point,0,298437.4375,3237626.734,NNI5
42423,Point,0,298439.4375,3237626.734,NNI5
42424,Point,0,298441.4375,3237626.734,NNI5
42425,Point,0,298443.4375,3237626.734,NNI5
42426,Point,0,298445.4375,3237626.734,NNI5
42427,Point,0,298447.4375,3237626.734,NNI5
42428,Point,0,298449.4375,3237626.734,NNI5
42429,Point,0,298457.4375,3237626.734,NNI5
42430,Point,0,298459.4375,3237626.734,NNI5
42431,Point,0,298461.4375,3237626.734,NNI5
42432,Point,0,298463.4375,3237626.734,NNI5
42433,Point,0,298465.4375,3237626.734,NNI5
42434,Point,0,298425.4375,3237628.734,NNI5
42435,Point,0,298427.4375,3237628.734,NNI5
42436,Point,0,298429.4375,3237628.734,NNI5
42437,Point,0,298431.4375,3237628.734,NNI5
42438,Point,0,298433.4375,3237628.734,NNI5
42439,Point,0,298435.4375,3237628.734,NNI5
42440,Point,0,298437.4375,3237628.734,NNI5
42441,Point,0,298439.4375,3237628.734,NNI5
42442,Point,0,298441.4375,3237628.734,NNI5
42443,Point,0,298443.4375,3237628.734,NNI5
42444,Point,0,298445.4375,3237628.734,NNI5
42445,Point,0,298447.4375,3237628.734,NNI5
42446,Point,0,298449.4375,3237628.734,NNI5
42447,Point,0,298455.4375,3237628.734,NNI5
42448,Point,0,298457.4375,3237628.734,NNI5
42449,Point,0,298459.4375,3237628.734,NNI5
42450,Point,0,298461.4375,3237628.734,NNI5
42451,Point,0,298463.4375,3237628.734,NNI5
42452,Point,0,298465.4375,3237628.734,NNI5
42453,Point,0,298467.4375,3237628.734,NNI5
42454,Point,0,298469.4375,3237628.734,NNI5
42455,Point,0,298421.4375,3237630.734,NNI5
42456,Point,0,298423.4375,3237630.734,NNI5
42457,Point,0,298425.4375,3237630.734,NNI5
42458,Point,0,298427.4375,3237630.734,NNI5
42459,Point,0,298429.4375,3237630.734,NNI5
42460,Point,0,298431.4375,3237630.734,NNI5
42461,Point,0,298433.4375,3237630.734,NNI5
42462,Point,0,298435.4375,3237630.734,NNI5
42463,Point,0,298437.4375,3237630.734,NNI5
42464,Point,0,298439.4375,3237630.734,NNI5
42465,Point,0,298441.4375,3237630.734,NNI5
42466,Point,0,298443.4375,3237630.734,NNI5
42467,Point,0,298445.4375,3237630.734,NNI5
42468,Point,0,298447.4375,3237630.734,NNI5
42469,Point,0,298449.4375,3237630.734,NNI5
42470,Point,0,298451.4375,3237630.734,NNI5
42471,Point,0,298453.4375,3237630.734,NNI5
42472,Point,0,298455.4375,3237630.734,NNI5
42473,Point,0,298457.4375,3237630.734,NNI5
42474,Point,0,298459.4375,3237630.734,NNI5
42475,Point,0,298461.4375,3237630.734,NNI5
42476,Point,0,298463.4375,3237630.734,NNI5
42477,Point,0,298465.4375,3237630.734,NNI5
42478,Point,0,298467.4375,3237630.734,NNI5
42479,Point,0,298469.4375,3237630.734,NNI5
42480,Point,0,298471.4375,3237630.734,NNI5
42481,Point,0,298473.4375,3237630.734,NNI5
42482,Point,0,298475.4375,3237630.734,NNI5
42483,Point,0,298477.4375,3237630.734,NNI5
42484,Point,0,298479.4375,3237630.734,NNI5
42485,Point,0,298417.4375,3237632.734,NNI5
42486,Point,0,298419.4375,3237632.734,NNI5
42487,Point,0,298421.4375,3237632.734,NNI5
42488,Point,0,298423.4375,3237632.734,NNI5
42489,Point,0,298425.4375,3237632.734,NNI5
42490,Point,0,298427.4375,3237632.734,NNI5
42491,Point,0,298429.4375,3237632.734,NNI5
42492,Point,0,298431.4375,3237632.734,NNI5
