FID,FID_wildre,Id,FID_reefma,Id_1,Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y
240,355074,0,14,0,yes,LC,I,1375.207951,19,1,298363.4375,3235118.733
241,355075,0,14,0,yes,LC,I,1375.207951,19,1,298365.4375,3235118.733
242,355076,0,14,0,yes,LC,I,1375.207951,19,1,298367.4375,3235118.733
243,355077,0,14,0,yes,LC,I,1375.207951,19,1,298369.4375,3235118.733
244,355078,0,14,0,yes,LC,I,1375.207951,19,1,298371.4375,3235118.733
245,355079,0,14,0,yes,LC,I,1375.207951,19,1,298373.4375,3235118.733
246,356142,0,14,0,yes,LC,I,1375.207951,19,1,298317.4375,3235120.733
247,356143,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235120.733
248,356144,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235120.733
249,356145,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235120.733
250,356146,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235120.733
251,356147,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235120.733
252,356148,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235120.733
253,356149,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235120.733
254,356150,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235120.733
255,356151,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235120.733
256,356152,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235120.733
257,356153,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235120.733
258,356154,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235120.733
259,356155,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235120.733
260,356156,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235120.733
261,356157,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235120.733
262,356158,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235120.733
263,356159,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235120.733
264,356160,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235120.733
265,356161,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235120.733
266,356162,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235120.733
267,356163,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235120.733
268,356164,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235120.733
269,356165,0,14,0,yes,LC,I,1375.207951,19,1,298363.4375,3235120.733
270,356166,0,14,0,yes,LC,I,1375.207951,19,1,298365.4375,3235120.733
271,356167,0,14,0,yes,LC,I,1375.207951,19,1,298367.4375,3235120.733
272,356168,0,14,0,yes,LC,I,1375.207951,19,1,298369.4375,3235120.733
273,356169,0,14,0,yes,LC,I,1375.207951,19,1,298371.4375,3235120.733
274,356170,0,14,0,yes,LC,I,1375.207951,19,1,298373.4375,3235120.733
275,356171,0,14,0,yes,LC,I,1375.207951,19,1,298375.4375,3235120.733
276,357232,0,14,0,yes,LC,I,1375.207951,19,1,298315.4375,3235122.733
277,357233,0,14,0,yes,LC,I,1375.207951,19,1,298317.4375,3235122.733
278,357234,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235122.733
279,357235,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235122.733
280,357236,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235122.733
281,357237,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235122.733
282,357238,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235122.733
283,357239,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235122.733
284,357240,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235122.733
285,357241,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235122.733
286,357242,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235122.733
287,357243,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235122.733
288,357244,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235122.733
289,357245,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235122.733
290,357246,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235122.733
291,357247,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235122.733
292,357248,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235122.733
293,357249,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235122.733
294,357250,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235122.733
295,357251,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235122.733
296,357252,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235122.733
297,357253,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235122.733
298,357254,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235122.733
299,357255,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235122.733
300,357256,0,14,0,yes,LC,I,1375.207951,19,1,298363.4375,3235122.733
301,357257,0,14,0,yes,LC,I,1375.207951,19,1,298365.4375,3235122.733
302,357258,0,14,0,yes,LC,I,1375.207951,19,1,298367.4375,3235122.733
303,357259,0,14,0,yes,LC,I,1375.207951,19,1,298369.4375,3235122.733
304,357260,0,14,0,yes,LC,I,1375.207951,19,1,298371.4375,3235122.733
